year,temperature,precipitation,elevation,slope,nightlight,population_density,road_density,mining_density,forest_area_percent,cropland_area_percent,impervious_area_percent,VHI,h3_index,latitude,longitude
2000,17.689841869903802,1818.2045389505863,681.004502103217,26.659308699275936,3.104893192078906,78.01686240354299,0.0,0.0,100.0,0.0,0.0,0.8027188855060391,85411a53fffffff,24.769928815021668,114.2101230742212
2001,17.953064618207858,1875.435847929851,681.004502103217,26.659308699275936,2.737505046594196,83.9822488885738,0.0,0.0,100.0,0.0,0.0,0.7314467857426634,85411a53fffffff,24.769928815021668,114.2101230742212
2002,18.18759458666248,1790.3707550580891,681.004502103217,26.659308699275936,2.669548074006673,80.32158230229044,0.0,0.0,100.0,0.0,0.0,0.7517929378634042,85411a53fffffff,24.769928815021668,114.2101230742212
2003,18.47670903847629,1294.4220842508378,681.004502103217,26.659308699275936,2.0,78.98744764616286,0.0,0.0,100.0,0.0,0.0,0.7426414283880335,85411a53fffffff,24.769928815021668,114.2101230742212
2004,18.21668141766794,1426.1906549491785,681.004502103217,26.659308699275936,2.506960771444584,81.76401297281576,0.0,0.0,100.0,0.0,0.0,0.7343436812803201,85411a53fffffff,24.769928815021668,114.2101230742212
2005,18.11601650707537,1591.2528309818117,681.004502103217,26.659308699275936,2.0,81.4934867001291,0.0,0.0,100.0,0.0,0.0,0.7004278220788525,85411a53fffffff,24.769928815021668,114.2101230742212
2006,18.357030646677305,1923.4786960220663,681.004502103217,26.659308699275936,2.1659886229061773,80.05756032486367,0.0,0.0,100.0,0.0,0.0,0.7160308305763502,85411a53fffffff,24.769928815021668,114.2101230742212
2007,18.53428624089952,1329.8536440060846,681.004502103217,26.659308699275936,2.5,81.41054276846883,0.0,0.0,100.0,0.0,0.0,0.7225211502789662,85411a53fffffff,24.769928815021668,114.2101230742212
2008,17.894345443031185,1583.2401242469168,681.004502103217,26.659308699275936,4.6180379139717695,68.95675663809274,0.0,0.0,100.0,0.0,0.0,0.6930757280631262,85411a53fffffff,24.769928815021668,114.2101230742212
2009,18.649601878785536,1267.2641362043298,681.004502103217,26.659308699275936,3.813671714060924,65.32928494580723,0.0,0.0,100.0,0.0,0.0,0.704001035994476,85411a53fffffff,24.769928815021668,114.2101230742212
2010,18.048515060573248,2111.5247671527563,681.004502103217,26.659308699275936,3.947770700636944,53.80415286203614,0.0,0.0,100.0,0.0,0.0,0.7361369241793666,85411a53fffffff,24.769928815021668,114.2101230742212
2011,17.425147704385825,1334.800849229235,681.004502103217,26.659308699275936,3.50397856188577,43.509728268178456,0.0,0.0,100.0,0.0,0.0,0.8451064031762258,85411a53fffffff,24.769928815021668,114.2101230742212
2012,17.732575830653833,1964.541483093272,681.004502103217,26.659308699275936,3.938572554726821,41.205882447721805,0.0,0.0,100.0,0.0,0.0,0.8273531215062085,85411a53fffffff,24.769928815021668,114.2101230742212
2013,18.175623368646782,1537.911824276344,681.004502103217,26.659308699275936,3.527690185768187,43.0262282531051,0.0,0.0,100.0,0.0,0.0,0.8425185458334247,85411a53fffffff,24.769928815021668,114.2101230742212
2014,18.77190064782108,1243.501140106928,681.004502103217,26.659308699275936,3.784455361091633,41.5612688683217,0.0,0.0,100.0,0.0,0.0,0.8399195362841302,85411a53fffffff,24.769928815021668,114.2101230742212
2015,18.49437490701003,1836.190551162368,681.004502103217,26.659308699275936,3.88849178816092,47.363475897236206,0.0,0.0,100.0,0.0,0.0,0.8663154523731728,85411a53fffffff,24.769928815021668,114.2101230742212
